Username,Password,Email,Provider,Gender
NPO3,NPO3pass,test@.,NPO3,NA
RTL5,RTL5pass,test@.,RTL5,NA
RTL8,RTL8pass,test@.,RTL8,NA
SBS9,SBS9pass,test@.,SBS9,NA
Canvas,Canvaspass,test@.,Canvas,NA
FOX,FOXpass,test@.,FOX,NA
SBS9,SBS9pass,test@.,SBS9,NA
NPO3,NPO3pass,test@.,NPO3,NA
RTL8,RTL8pass,test@.,RTL8,NA
Canvas,Canvaspass,test@.,Canvas,NA
NPO2,NPO2pass,test@.,NPO2,NA
Een,Eenpass,test@.,Een,NA
TV5,TV5pass,test@.,TV5,NA
BBC1,BBC1pass,test@.,BBC1,NA
BBC2,BBC2pass,test@.,BBC2,NA
BBC3,BBC3pass,test@.,BBC3,NA
